new,price,refurbished,title,day,id
new,,refurbished,title,23/12/2023,9833658378
4 vendidos,13198.0,Reacondicionado,Apple Macbook Pro 2018 I5 2.3ghz 8gb Ssd 256gb 13.3 Touchbar (Reacondicionado),23/12/2023,4199059969
,19726.0,Reacondicionado,Apple Macbook Pro 2020 Core I7 2.3ghz 32gb Ssd 1tb 13.3  (Reacondicionado),23/12/2023,3611336852
+5 vendidos,3479.0,Reacondicionado,Macbook Pro 2011 4 Ram Core I5 High Sierra  (Reacondicionado),23/12/2023,7589327705
1 vendido,5035.0,Reacondicionado,Macbook pro 15 Principios 2011 500gb-hdd 8gb Core I7 (Reacondicionado),23/12/2023,2202060202
+5 vendidos,23332.0,Reacondicionado,Macbook Pro 16 Inch 2019 16 Ram 512 Ssd  I7 2.6ghz 4gb Video (Reacondicionado),23/12/2023,2484977732
+5 vendidos,26999.0,Reacondicionado,Macbook Retina 16 Touch Bar 2019 Core I9 16gb 512ssd 5300m (Reacondicionado),23/12/2023,6390377325
3 vendidos,30399.0,Reacondicionado,Macbook Retina 16 Touch Bar 2019 Intel I9 32gb 1tb 5500m (Reacondicionado),23/12/2023,8181250509
+50 vendidos,4334.0,Reacondicionado,Macbook Pro 13 2012 Macos Catalina Apple Buena Batería (Reacondicionado),23/12/2023,1767199179
+50 vendidos,9931.0,Reacondicionado,Apple Macbook Pro 2017 13.3 Intel Core I5 2.3ghz 8gb Ram Ssd (Reacondicionado),23/12/2023,5845411825
1 vendido,29449.0,Reacondicionado,Macbook Retina 16 Touch Bar 2019 Core I9 32gb 1tb 5500m (Reacondicionado),23/12/2023,4741379867
+50 vendidos,4959.0,Reacondicionado,Macbook Pro 13 2012 Mac Os Catalina Apple Buena Batería Msi (Reacondicionado),23/12/2023,2272200574
+5 vendidos,28600.0,Reacondicionado,Macbook Retina 16 Touch Bar 2019 Intel I7 32gb 512ssd 5300m (Reacondicionado),23/12/2023,5349769501
2 vendidos,14995.0,Reacondicionado,Macbook Pro 15 Retina A1707 Touchbar I7 16gb 256gb Radeon (Reacondicionado),23/12/2023,46850371
4 vendidos,27381.0,Reacondicionado,Macbook Pro 2018 Core I9 32gb Ram 4tb Ssd Touch Bar 2.9 Ghz (Reacondicionado),23/12/2023,3719986083
Nuevo  |  1 vendido,3544.0,,Reacondicionado  Macbook Pro 13 De 4 Gb De Ram Y 500 Gb Hdd,23/12/2023,6026981126
Nuevo,36999.0,,Macbook Pro A1989 (2019) 13 Retina Corei5 8gb 256gb Touchbar,23/12/2023,341828263
+5 vendidos,5949.0,Reacondicionado,Macbook Pro 2012 13inch I5 16gb Ram Catalina Apple (Reacondicionado),23/12/2023,7699969049
Nuevo,5621.0,,"Reacondicionado Macbook Pro 13, 8 Gb De Ram, 500 Gb, Hdd",23/12/2023,9173387744
Nuevo,6900.0,,Reacondicionado Macbook Pro 13 De 4 Gb De Ram Y 1 Tb Ssd,23/12/2023,6890651907
1 vendido,3449.0,Reacondicionado,Macbook Pro 2011 4 Ram Core I5 High Sierra Msi (Reacondicionado),23/12/2023,6366705646
+5 vendidos,4851.0,Reacondicionado,Macbook Pro 13 2012 Mac Os Catalina Apple Msi (Reacondicionado),23/12/2023,4574348584
+5 vendidos,5345.0,Reacondicionado,Macbook Pro 13 2012 Catalina I5 8 Ram 512 Ssd (Reacondicionado),23/12/2023,9677796208
+5 vendidos,5345.0,Reacondicionado,Macbook Pro 2012 13inch I5 16gb Ram Catalina Apple (Reacondicionado),23/12/2023,7699969049
1 vendido,6389.0,Reacondicionado,Macbook Pro Retina 2014 13.3 Core I5 8 Ram 251 Ssd (Reacondicionado),23/12/2023,5704056878
4 vendidos,9814.0,Reacondicionado,Macbook Pro Retina A1708 Mid 2017 13.3 I5 8 Gb Ram 256 Ssd M (Reacondicionado),23/12/2023,2042393522
Nuevo,4880.0,,Reacondicionado  Macbook Pro 13 De 4 Gb De Ram Y 128 Gb Ssd,23/12/2023,9143750029
Nuevo,4997.0,,"Reacondicionado Macbookpro 13 Pulgadas, 16gb Ram, 256gb Ssd",23/12/2023,181196604
